"Image_FileName_brightfield","Image_PathName_brightfield","Metadata_fld","Metadata_channel","Metadata_parent","Metadata_original","Metadata_zst","Metadata_timepoint","Metadata_well","Image_FileName_projection","Image_PathName_projection","Image_FileName_ch3","Image_FileName_ch4","Image_PathName_ch3","Image_PathName_ch4"
"r09c15f01p01-ch1sk1fk1fl1.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/Images","f01","ch1","000012094903__2019-08-27T21_12_28-Measurement_1","r09c15f01p01-ch1sk1fk1fl1","01","sk1","I15","r09c15f01p16-ch2sk1fk1fl1_projection.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f01-ch2","000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f01-ch3_maxproject.tiff","000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f01-ch4_maxproject.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f01-ch3","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f01-ch4"
"r09c15f01p01-ch1sk2fk1fl1.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/Images","f01","ch1","000012094903__2019-08-27T21_12_28-Measurement_1","r09c15f01p01-ch1sk2fk1fl1","01","sk2","I15","r09c15f01p16-ch2sk2fk1fl1_projection.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f01-ch2","000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f01-ch3_maxproject.tiff","000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f01-ch4_maxproject.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f01-ch3","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f01-ch4"
"r09c15f02p01-ch1sk1fk1fl1.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/Images","f02","ch1","000012094903__2019-08-27T21_12_28-Measurement_1","r09c15f02p01-ch1sk1fk1fl1","01","sk1","I15","r09c15f02p16-ch2sk1fk1fl1_projection.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f02-ch2","000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f02-ch3_maxproject.tiff","000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f02-ch4_maxproject.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f02-ch3","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f02-ch4"
"r09c15f02p01-ch1sk2fk1fl1.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/Images","f02","ch1","000012094903__2019-08-27T21_12_28-Measurement_1","r09c15f02p01-ch1sk2fk1fl1","01","sk2","I15","r09c15f02p16-ch2sk2fk1fl1_projection.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f02-ch2","000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f02-ch3_maxproject.tiff","000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f02-ch4_maxproject.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f02-ch3","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f02-ch4"
"r09c15f03p01-ch1sk1fk1fl1.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/Images","f03","ch1","000012094903__2019-08-27T21_12_28-Measurement_1","r09c15f03p01-ch1sk1fk1fl1","01","sk1","I15","r09c15f03p16-ch2sk1fk1fl1_projection.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f03-ch2","000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f03-ch3_maxproject.tiff","000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f03-ch4_maxproject.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f03-ch3","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f03-ch4"
"r09c15f03p01-ch1sk2fk1fl1.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/Images","f03","ch1","000012094903__2019-08-27T21_12_28-Measurement_1","r09c15f03p01-ch1sk2fk1fl1","01","sk2","I15","r09c15f03p16-ch2sk2fk1fl1_projection.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f03-ch2","000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f03-ch3_maxproject.tiff","000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f03-ch4_maxproject.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f03-ch3","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f03-ch4"
"r09c15f04p01-ch1sk1fk1fl1.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/Images","f04","ch1","000012094903__2019-08-27T21_12_28-Measurement_1","r09c15f04p01-ch1sk1fk1fl1","01","sk1","I15","r09c15f04p16-ch2sk1fk1fl1_projection.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f04-ch2","000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f04-ch3_maxproject.tiff","000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f04-ch4_maxproject.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f04-ch3","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f04-ch4"
"r09c15f04p01-ch1sk2fk1fl1.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/Images","f04","ch1","000012094903__2019-08-27T21_12_28-Measurement_1","r09c15f04p01-ch1sk2fk1fl1","01","sk2","I15","r09c15f04p16-ch2sk2fk1fl1_projection.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f04-ch2","000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f04-ch3_maxproject.tiff","000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f04-ch4_maxproject.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f04-ch3","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f04-ch4"
"r09c15f05p01-ch1sk1fk1fl1.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/Images","f05","ch1","000012094903__2019-08-27T21_12_28-Measurement_1","r09c15f05p01-ch1sk1fk1fl1","01","sk1","I15","r09c15f05p16-ch2sk1fk1fl1_projection.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f05-ch2","000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f05-ch3_maxproject.tiff","000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f05-ch4_maxproject.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f05-ch3","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk1-I15-f05-ch4"
"r09c15f05p01-ch1sk2fk1fl1.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/Images","f05","ch1","000012094903__2019-08-27T21_12_28-Measurement_1","r09c15f05p01-ch1sk2fk1fl1","01","sk2","I15","r09c15f05p16-ch2sk2fk1fl1_projection.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f05-ch2","000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f05-ch3_maxproject.tiff","000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f05-ch4_maxproject.tiff","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f05-ch3","~/bucket/inbox/000012094903__2019-08-27T21_12_28-Measurement_1/flatfield/000012094903__2019-08-27T21_12_28-Measurement_1/000012094903__2019-08-27T21_12_28-Measurement_1-sk2-I15-f05-ch4"
