"Image_FileName_brightfield","Image_PathName_brightfield","Metadata_fld","Metadata_channel","Metadata_parent","Metadata_original","Metadata_zst","Metadata_timepoint","Metadata_well","Image_FileName_projection","Image_PathName_projection","Image_FileName_ch3","Image_FileName_ch4","Image_PathName_ch3","Image_PathName_ch4"
"r12c08f01p01-ch1sk1fk1fl1.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/Images","f01","ch1","000012095103__2019-09-06T17_24_19-Measurement_3","r12c08f01p01-ch1sk1fk1fl1","01","sk1","L08","r12c08f01p16-ch2sk1fk1fl1_projection.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f01-ch2","000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f01-ch3_maxproject.tiff","000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f01-ch4_maxproject.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f01-ch3","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f01-ch4"
"r12c08f01p01-ch1sk2fk1fl1.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/Images","f01","ch1","000012095103__2019-09-06T17_24_19-Measurement_3","r12c08f01p01-ch1sk2fk1fl1","01","sk2","L08","r12c08f01p16-ch2sk2fk1fl1_projection.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f01-ch2","000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f01-ch3_maxproject.tiff","000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f01-ch4_maxproject.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f01-ch3","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f01-ch4"
"r12c08f02p01-ch1sk1fk1fl1.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/Images","f02","ch1","000012095103__2019-09-06T17_24_19-Measurement_3","r12c08f02p01-ch1sk1fk1fl1","01","sk1","L08","r12c08f02p16-ch2sk1fk1fl1_projection.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f02-ch2","000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f02-ch3_maxproject.tiff","000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f02-ch4_maxproject.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f02-ch3","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f02-ch4"
"r12c08f02p01-ch1sk2fk1fl1.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/Images","f02","ch1","000012095103__2019-09-06T17_24_19-Measurement_3","r12c08f02p01-ch1sk2fk1fl1","01","sk2","L08","r12c08f02p16-ch2sk2fk1fl1_projection.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f02-ch2","000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f02-ch3_maxproject.tiff","000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f02-ch4_maxproject.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f02-ch3","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f02-ch4"
"r12c08f03p01-ch1sk1fk1fl1.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/Images","f03","ch1","000012095103__2019-09-06T17_24_19-Measurement_3","r12c08f03p01-ch1sk1fk1fl1","01","sk1","L08","r12c08f03p16-ch2sk1fk1fl1_projection.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f03-ch2","000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f03-ch3_maxproject.tiff","000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f03-ch4_maxproject.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f03-ch3","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f03-ch4"
"r12c08f03p01-ch1sk2fk1fl1.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/Images","f03","ch1","000012095103__2019-09-06T17_24_19-Measurement_3","r12c08f03p01-ch1sk2fk1fl1","01","sk2","L08","r12c08f03p16-ch2sk2fk1fl1_projection.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f03-ch2","000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f03-ch3_maxproject.tiff","000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f03-ch4_maxproject.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f03-ch3","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f03-ch4"
"r12c08f04p01-ch1sk1fk1fl1.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/Images","f04","ch1","000012095103__2019-09-06T17_24_19-Measurement_3","r12c08f04p01-ch1sk1fk1fl1","01","sk1","L08","r12c08f04p16-ch2sk1fk1fl1_projection.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f04-ch2","000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f04-ch3_maxproject.tiff","000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f04-ch4_maxproject.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f04-ch3","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f04-ch4"
"r12c08f04p01-ch1sk2fk1fl1.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/Images","f04","ch1","000012095103__2019-09-06T17_24_19-Measurement_3","r12c08f04p01-ch1sk2fk1fl1","01","sk2","L08","r12c08f04p16-ch2sk2fk1fl1_projection.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f04-ch2","000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f04-ch3_maxproject.tiff","000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f04-ch4_maxproject.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f04-ch3","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f04-ch4"
"r12c08f05p01-ch1sk1fk1fl1.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/Images","f05","ch1","000012095103__2019-09-06T17_24_19-Measurement_3","r12c08f05p01-ch1sk1fk1fl1","01","sk1","L08","r12c08f05p16-ch2sk1fk1fl1_projection.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f05-ch2","000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f05-ch3_maxproject.tiff","000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f05-ch4_maxproject.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f05-ch3","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk1-L08-f05-ch4"
"r12c08f05p01-ch1sk2fk1fl1.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/Images","f05","ch1","000012095103__2019-09-06T17_24_19-Measurement_3","r12c08f05p01-ch1sk2fk1fl1","01","sk2","L08","r12c08f05p16-ch2sk2fk1fl1_projection.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f05-ch2","000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f05-ch3_maxproject.tiff","000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f05-ch4_maxproject.tiff","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f05-ch3","~/bucket/inbox/000012095103__2019-09-06T17_24_19-Measurement_3/flatfield/000012095103__2019-09-06T17_24_19-Measurement_3/000012095103__2019-09-06T17_24_19-Measurement_3-sk2-L08-f05-ch4"
