"Image_FileName_brightfield","Image_PathName_brightfield","Metadata_fld","Metadata_channel","Metadata_parent","Metadata_original","Metadata_zst"
"r01c01f01p01-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f01p01-ch2sk1fk1fl1","01"
"r01c01f01p02-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f01p02-ch2sk1fk1fl1","02"
"r01c01f01p03-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f01p03-ch2sk1fk1fl1","03"
"r01c01f01p04-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f01p04-ch2sk1fk1fl1","04"
"r01c01f01p05-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f01p05-ch2sk1fk1fl1","05"
"r01c01f01p06-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f01p06-ch2sk1fk1fl1","06"
"r01c01f01p07-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f01p07-ch2sk1fk1fl1","07"
"r01c01f01p08-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f01p08-ch2sk1fk1fl1","08"
"r01c01f01p09-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f01p09-ch2sk1fk1fl1","09"
"r01c01f01p10-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f01p10-ch2sk1fk1fl1","10"
"r01c01f01p11-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f01p11-ch2sk1fk1fl1","11"
"r01c01f01p12-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f01p12-ch2sk1fk1fl1","12"
"r01c01f01p13-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f01p13-ch2sk1fk1fl1","13"
"r01c01f01p14-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f01p14-ch2sk1fk1fl1","14"
"r01c01f01p15-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f01p15-ch2sk1fk1fl1","15"
"r01c01f01p16-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f01p16-ch2sk1fk1fl1","16"
"r01c01f02p01-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f02p01-ch2sk1fk1fl1","01"
"r01c01f02p02-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f02p02-ch2sk1fk1fl1","02"
"r01c01f02p03-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f02p03-ch2sk1fk1fl1","03"
"r01c01f02p04-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f02p04-ch2sk1fk1fl1","04"
"r01c01f02p05-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f02p05-ch2sk1fk1fl1","05"
"r01c01f02p06-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f02p06-ch2sk1fk1fl1","06"
"r01c01f02p07-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f02p07-ch2sk1fk1fl1","07"
"r01c01f02p08-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f02p08-ch2sk1fk1fl1","08"
"r01c01f02p09-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f02p09-ch2sk1fk1fl1","09"
"r01c01f02p10-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f02p10-ch2sk1fk1fl1","10"
"r01c01f02p11-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f02p11-ch2sk1fk1fl1","11"
"r01c01f02p12-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f02p12-ch2sk1fk1fl1","12"
"r01c01f02p13-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f02p13-ch2sk1fk1fl1","13"
"r01c01f02p14-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f02p14-ch2sk1fk1fl1","14"
"r01c01f02p15-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f02p15-ch2sk1fk1fl1","15"
"r01c01f02p16-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f02p16-ch2sk1fk1fl1","16"
"r01c01f03p01-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r01c01f03p01-ch2sk1fk1fl1","01"
