Image_FileName_brightfield,Image_PathName_brightfield,Metadata_fld,Metadata_channel,Metadata_parent,Metadata_original,Metadata_zst,Metadata_timepoint,Metadata_well
r01c01f01p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/inbox/703__2018-11-07T20_55_16-Measurement_1/Images,f01,ch2,703__2018-11-07T20_55_16-Measurement_1,r01c01f01p01-ch2sk1fk1fl1,1,sk1,A01
r01c01f01p01-ch2sk2fk1fl1.tiff,/home/ubuntu/bucket/inbox/703__2018-11-07T20_55_16-Measurement_1/Images,f01,ch2,703__2018-11-07T20_55_16-Measurement_1,r01c01f01p01-ch2sk2fk1fl1,1,sk2,A01
r01c01f01p02-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/inbox/703__2018-11-07T20_55_16-Measurement_1/Images,f01,ch2,703__2018-11-07T20_55_16-Measurement_1,r01c01f01p02-ch2sk1fk1fl1,2,sk1,A01
r01c01f01p02-ch2sk2fk1fl1.tiff,/home/ubuntu/bucket/inbox/703__2018-11-07T20_55_16-Measurement_1/Images,f01,ch2,703__2018-11-07T20_55_16-Measurement_1,r01c01f01p02-ch2sk2fk1fl1,2,sk2,A01
r01c01f01p03-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/inbox/703__2018-11-07T20_55_16-Measurement_1/Images,f01,ch2,703__2018-11-07T20_55_16-Measurement_1,r01c01f01p03-ch2sk1fk1fl1,3,sk1,A01
r01c01f01p03-ch2sk2fk1fl1.tiff,/home/ubuntu/bucket/inbox/703__2018-11-07T20_55_16-Measurement_1/Images,f01,ch2,703__2018-11-07T20_55_16-Measurement_1,r01c01f01p03-ch2sk2fk1fl1,3,sk2,A01
r01c01f01p04-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/inbox/703__2018-11-07T20_55_16-Measurement_1/Images,f01,ch2,703__2018-11-07T20_55_16-Measurement_1,r01c01f01p04-ch2sk1fk1fl1,4,sk1,A01
r01c01f01p04-ch2sk2fk1fl1.tiff,/home/ubuntu/bucket/inbox/703__2018-11-07T20_55_16-Measurement_1/Images,f01,ch2,703__2018-11-07T20_55_16-Measurement_1,r01c01f01p04-ch2sk2fk1fl1,4,sk2,A01
r01c01f01p05-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/inbox/703__2018-11-07T20_55_16-Measurement_1/Images,f01,ch2,703__2018-11-07T20_55_16-Measurement_1,r01c01f01p05-ch2sk1fk1fl1,5,sk1,A01
r01c01f01p05-ch2sk2fk1fl1.tiff,/home/ubuntu/bucket/inbox/703__2018-11-07T20_55_16-Measurement_1/Images,f01,ch2,703__2018-11-07T20_55_16-Measurement_1,r01c01f01p05-ch2sk2fk1fl1,5,sk2,A01
